url,title,upvotes,downvotes,views,commentcount,date
ItYOdWRo0JY,Selling My iPhone X To a Machine at Walmart,108577,91775,12499974,21123,2017-11-14T00:45:15Z
34UCkAJKt6M,Official iDubbbz Content Cop Diss Track,483801,777373,8700241,150682,2017-10-09T22:03:29Z
xuCn8ux2gbs,"history of the entire world, i guess",4467927,71547,112060703,367145,2017-05-10T20:28:36Z
WeA7edXsU40,We Are NASA,129840,2236,2826612,8039,2018-11-16T14:00:02Z
HVjlcUtuENM,Our Surrogate Story: The Truth | Gigi,25551,31465,1741401,5313,2017-11-29T00:53:50Z
u_J0Ng5cUGg,36 Questions Women Have For Men,57341,642191,4679316,120550,2016-01-26T02:00:00Z
ffxKSjUwKdU,Ariana Grande - no tears left to cry (Official Video),7036447,316928,977824338,386528,2018-04-20T04:00:03Z
w3ugHP-yZXw,GHOSTBUSTERS - Official Trailer (HD),316735,1175967,46927172,251646,2016-03-03T14:00:03Z
Rqy_5PmID6k,Leafy Vs Bashur #DramaAlert Youtuber Caught SEXUALLY TOUCHING FANS!,49458,131340,1304510,23018,2016-06-19T00:02:32Z
pjS6OdY2dBQ,who i'm voting for president,371810,307717,5993382,140906,2016-10-11T20:45:55Z
KEJdam7NJ2Y,JoeySalads Insensitive BOMB Prank VID #DramaAlert Onision Unverified! Lionmaker!,31154,100307,1258819,28211,2016-06-13T21:52:56Z
FmE8DwZ6RHk,Crowd boos as Trump calls media 'fake' in Davos,6526,21986,988623,11513,2018-01-26T14:02:25Z
l14ejKg__HY,My Response to Content Cop (Diss Track),503289,1018815,10428651,240370,2017-10-08T02:14:00Z
J2HytHu5VBI,we broke up,3146735,139046,69391465,417078,2018-06-05T04:54:35Z
VY4wCi1pPkU,THE DIAMOND PLAY BUTTON!! (Part 1),1338584,47127,32001830,110096,2016-05-26T15:03:19Z
_UZbgH3pOBA,"H3 Podcast #28 - PewDiePie Drops the ""N"" Bomb (Top Of The Week)",44826,75975,2062931,20353,2017-09-13T20:50:58Z
bukzXzsG77o,Content Cop - Jake Paul,2275085,112151,49656246,276848,2017-10-03T16:00:04Z
PpcNQNJmU9Y,"Call of Duty®: Infinite Warfare - ""Ship Assault"" Campaign Gameplay",56281,83225,1301252,24282,2016-06-14T04:29:47Z
RZ65WvTqPl4,Working,86901,812,1496564,3394,2017-05-11T21:09:59Z
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,3751494,91498,243775491,464429,2017-11-29T13:26:24Z
CfdVnvrJUS0,I'M DONE. Reaction!,24450,88820,817911,20019,2016-07-22T02:03:39Z
fuHcdFPBKy0,YOUTUBERS REACT TO YOUTUBE REWIND 2017,121521,23172,10891782,11553,2017-12-08T22:00:01Z
_GuOjXYl5ew,YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind,4023184,579415,240153585,688218,2016-12-07T18:00:03Z
t6hlkIlGFCI,"Ghostbusters Official Trailer #2 (2016) - Kristen Wiig, Melissa McCarthy Movie HD",25271,92506,3192984,15286,2016-05-18T13:24:35Z
MFWF9dU5Zc0,OCEAN'S 8 - Official 1st Trailer,142405,65676,20739316,34928,2017-12-19T12:00:02Z
4NJlUribp3c,Desiigner - Panda (Official Audio),6429558,201116,624830367,311135,2016-03-10T08:00:00Z
w38IG6HsI5s,THE WORLD'S BEST BEAUTY HACKS!,2274121,16891,50533417,59716,2016-08-25T04:54:33Z
C_Ig3iHWDwk,Update: LEAFY EXPOSED for Subbotting #DramaAlert SCARCE vs KEEMSTAR - Part 2,29130,182268,1070599,39070,2016-08-13T23:33:04Z
udBgnu1hbLU,CRAZY INSTANT WATER TO ICE MAGIC TRICK!!,1255200,41209,24358855,37701,2016-07-18T02:31:30Z
8d_202l55LU,The FCC repeals its net neutrality rules,5814,134418,1336146,18152,2017-12-14T18:49:06Z
lqZSV5sFeZI,Making the song with TheOdd1sOut (Life is Fun - BTS),356537,3671,13004082,40980,2018-07-19T17:21:46Z
FlsCjmMhFmw,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,4629425,2338108,237146034,954513,2017-12-06T17:58:51Z
mNcdlLIOdNw,Selena Gomez Carpool Karaoke,1890545,42102,109783638,105351,2016-06-21T05:04:44Z
-HYe1xkjOcQ,"Boogie2988 Channel DELETED! #DramaAlert FaZe Rain SCAMMING Fans? - Superwoman HACKED, Nudah!",28891,81950,1061199,11926,2016-06-26T02:07:01Z
c7nRTF2SowQ,Battlefield 1 Official Reveal Trailer,2379610,45884,66430847,344416,2016-05-06T20:14:49Z
MfTbHITdhEI,Eminem - Fall,2929314,85599,188112983,194303,2018-09-04T17:00:02Z
X3hjRKGrC40,Metal Gear Survive Official Trailer - Gamescom 2016,24509,148494,4185608,30207,2016-08-17T08:00:01Z
YbJOTdZBX1g,YouTube Rewind 2018: Everyone Controls Rewind | #YouTubeRewind,2978594,18876684,212999243,2221196,2018-12-06T17:58:29Z
QwZT7T-TXT0,So Sorry.,1749613,2496105,59153397,1342850,2018-01-02T16:42:21Z
0tO_l_Ed5Rs,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,23016,22125,618588,7695,2017-11-11T16:00:01Z
V5cOvyDpWfM,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,87605,223159,26636385,73283,2018-02-19T01:37:11Z
cRJjXCK6H6Y,LEAFY EXPOSED for Subbotting #DramaAlert Marina Joyce & Comedyshortsgamer !,48868,135478,1056332,27976,2016-08-12T23:27:52Z
5NbhJ2fFGco,High School You Vs. Child You! Part 2 | MyLifeAsEva,1665352,24543,20953835,43215,2016-02-06T23:39:43Z
oJ2faqXlU1s,Mirror-Polished Japanese Foil Ball Challenge Crushed in a Hydraulic Press-What's Inside?,227746,30770,23925222,12737,2018-04-10T15:42:48Z
n1WpP7iowLc,Eminem - Walk On Water (Audio) ft. Beyoncé,1187767,75748,61984709,123625,2017-11-10T17:00:03Z
EeF3UTkCoxY,Official Call of Duty®: Infinite Warfare Reveal Trailer,633391,3923413,44847897,760712,2016-05-02T10:05:14Z
LFhT6H6pRWg,PSA from Chairman of the FCC Ajit Pai,12094,283683,1631171,25865,2017-12-13T22:52:57Z
IvxRsDpXPGo,Jacob Sartorius - Sweatshirt (Official Music Video),768853,2293179,58273401,568074,2016-06-07T21:48:20Z
lYEj9snU838,"Boy speaks out on viral bullying video, mom addresses backlash",11388,20093,1801905,8132,2017-12-12T12:58:41Z
